price,location,distance,amenities,ratings,type
3426,"Salt Lake, Kolkata",,Room service Free WiFi Family rooms 24-hour front desk ,7.5,Standard Double Room
4499,Kolkata,,Room service Fitness centre Restaurant Free WiFi Private parking Facilities for disabled guests Family rooms Tea/coffee maker in all rooms Bar Good breakfast,7.9,Superior Twin Room - Non-Smoking
10450,Kolkata,,Outdoor swimming pool Spa and wellness centre Room service Fitness centre Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Fabulous breakfast,8.6,"Towers Exclusive, Guest room, 1 Queen"
2500,"New Town, Kolkata",,Outdoor swimming pool Room service Fitness centre Restaurant Free WiFi Free parking Airport shuttle Tea/coffee maker in all rooms Bar Good breakfast,7.2, Day Use Room (10am to 6pm) - Mandatory check out at 6pm - No Night & Multiple stays allowed
8000,Kolkata,,Outdoor swimming pool Spa and wellness centre Room service Fitness centre Restaurant Free WiFi Free parking Airport shuttle (free) Bar Fabulous breakfast,9.2,Deluxe Room
6199,"New Town, Kolkata",,Outdoor swimming pool Spa and wellness centre Room service Fitness centre Restaurant Free WiFi Free parking Airport shuttle (free) Bar Good breakfast,7.7,"Superior King Room -  - Enjoy Unlimited drinks between 6-8 PM (House Brands only), Snacks (Chef’s Special), Choice of Cocktails/Mocktails at an additional cost of INR 1500 + tax per person"
6700,Kolkata,,2 swimming pools Spa and wellness centre Room service Fitness centre Restaurant Free WiFi Facilities for disabled guests Family rooms Bar Breakfast ,7.6,Deluxe Twin Room
8000,Kolkata,,Outdoor swimming pool Spa and wellness centre Room service Fitness centre Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,8.2,Deluxe King Guest Room
5400,Kolkata,,Outdoor swimming pool Room service Fitness centre Restaurant Free WiFi Free parking Airport shuttle Facilities for disabled guests Bar Good breakfast,8.7,Deluxe Room with 15% discount on Food and Beverage (Excluding in room dining)
1070,Kolkata,,Room service Airport shuttle Family rooms Non-smoking rooms 24-hour front desk Breakfast ,5.9,Standard Double Room
8411,"Salt Lake, Kolkata",,Outdoor swimming pool Spa and wellness centre Room service Fitness centre Restaurant Free WiFi Free parking Airport shuttle (free) Bar Very good breakfast,7.8,King Room with Pool View
6600,"Park Street, Kolkata",,Outdoor swimming pool Spa and wellness centre Room service Fitness centre Restaurant Free WiFi Free parking Airport shuttle Facilities for disabled guests Bar ,6.4,Deluxe King Room
3299,"New Town, Kolkata",,Room service Fitness centre Restaurant Free WiFi Free parking Airport shuttle Facilities for disabled guests Tea/coffee maker in all rooms Bar Good breakfast,7.9,Standard Twin Room
7500,Kolkata,,Outdoor swimming pool Spa and wellness centre Room service Fitness centre Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Fabulous breakfast,8.4,"Executive club, Guest room, 1 Queen"
6099,"New Town, Kolkata",,Outdoor swimming pool Spa and wellness centre Room service Fitness centre Restaurant Free WiFi Free parking Airport shuttle Bar Fabulous breakfast,8.5,Deluxe King Room with Bathtub
2275,"New Town, Kolkata",,Room service Restaurant Free parking Non-smoking rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,7.969565217391304,Deluxe Queen Room
2399,"Ballygunge, Kolkata",,Room service Free WiFi Free parking Family rooms 24-hour front desk Breakfast ,7.1,Deluxe Room
9000,Kolkata,,Outdoor swimming pool (Temporarily closed)Spa and wellness centre Room service Fitness centre Restaurant Free WiFi Free parking Facilities for disabled guests Bar Very good breakfast,8.9,Deluxe Room Various View  King Bed
2310,"Park Street, Kolkata",,Room service Free WiFi Family rooms 24-hour front desk Fabulous breakfast,8.3,Deluxe Room
13770,"New Town, Kolkata",,Room service Fitness centre Restaurant Free WiFi Free parking Airport shuttle Facilities for disabled guests Tea/coffee maker in all rooms Bar Good breakfast,7.9,"Taj Club room with Jacuzzi with buffet breakfast, one way airport transfer, evening cocktail ,2 pcs of ironing non-cumulative basis"
3629,Kolkata,,Free WiFi Free parking Facilities for disabled guests Family rooms Non-smoking rooms ,8.9,Two-Bedroom Apartment
1869,"New Town, Kolkata",,Room service Free WiFi Family rooms Non-smoking rooms Superb breakfast,8.5,Deluxe Double Room
3150,Kolkata,,Room service Free WiFi Family rooms 24-hour front desk Tea/coffee maker in all rooms Fabulous breakfast,8.5,Deluxe Double or Twin Room
5654,Kolkata,,Room service Free WiFi Private parking Airport shuttle Family rooms Non-smoking rooms 24-hour front desk Exceptional breakfast,9.4,Grand Executive Room
3900,"Park Street, Kolkata",,Free WiFi ,7.969565217391304,Double Room with Private Bathroom
3426,"Salt Lake, Kolkata",,Room service Free WiFi Family rooms 24-hour front desk ,7.5,Standard Double Room
4499,Kolkata,,Room service Fitness centre Restaurant Free WiFi Private parking Facilities for disabled guests Family rooms Tea/coffee maker in all rooms Bar Good breakfast,7.9,Superior Twin Room - Non-Smoking
